Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R04,Number_of_Products_Ready_for_Sale,120,150,100,140,105,140,120,100,110,100
R04,Customer_Visited,136,148,109,154,109,147,138,141,111,118
R04,Cumulative_Customer_Visited,500,557,431,529,398,544,521,564,448,502
R04,Number_of_Sales,120,148,100,140,105,140,120,100,110,100
R04,Cumulative_Number_of_Sales,440,468,400,465,390,486,450,436,410,400
R04,Product_Shortage,16,0,9,14,4,7,18,41,1,18
R04,Cumulative_Product_Shortage,-60,-89,-31,-64,-8,-58,-71,-128,-38,-102
R04,Shortage_Cost,3664,0,2655,2870,1180,1540,4122,9430,280,4500
R04,Cumulative_Shortage_Cost,-14500,-18224,-8705,-14890,-2380,-13590,-15962,-25530,-9891,-23045
R04,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R04,Product_Disposed,0,2,0,0,0,0,0,0,0,0
R04,Cumulative_Product_Disposed,0,-2,0,0,-20,-4,0,-4,0,0
R04,Cumulative_Disposal_Loss,0,-1000,0,0,-10000,-2000,0,-2000,0,0
R04,Sales,87480,104636,79500,98700,83475,100800,87480,73000,85800,75000
R04,Cumulative_Sales,325760,330816,313500,337200,315675,349040,328080,307560,315700,292500
R04,Debt,0,0,0,0,0,0,0,0,0,0
R04,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R04,Cash_Flow,-5520,9636,9500,3200,12975,28800,2480,1000,10800,5000
R04,Cumulative_Cash_Flow,-13240,-9184,33500,-14800,26175,-1960,8080,-2440,25700,12500
R04,Cash,186760,190816,233500,185200,226175,198040,208080,197560,225700,212500
R04,Material_Inventory_Assets,24000,0,0,12000,2000,16000,0,0,0,0
R04,Product_in_Process_Assets,65000,75000,50000,77500,52500,60000,65000,60000,55000,50000
R04,Inventory_Assets,89000,75000,50000,89500,54500,76000,65000,60000,55000,50000
R04,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R04,Assets,525760,515816,533500,524700,530675,524040,523080,507560,530700,512500
R04,Cost_of_Product_Manufactured,60000,75000,50000,70000,52500,70000,60000,50000,55000,50000
R04,Gross_Profit,27480,29636,29500,28700,30975,30800,27480,23000,30800,25000
R04,Operating_Profit,7480,9636,9500,8700,10975,10800,7480,3000,10800,5000
R04,Ordinary_Profit,7480,9636,9500,8700,10975,10800,7480,3000,10800,5000
R04,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R04,Retained_Earnings,25760,15816,33500,24700,30675,24040,23080,7560,30700,12500
